,192.168.200.86,192.168.200.87,192.168.200.88,192.168.200.89,192.168.200.91,192.168.200.92
,2.50,2.50,1.63,3.41,2.10,3.83
,0.30,0.30,0.13,0.30,0.30,1.96
,0.13,0.13,0.98,1.03,0.30,31.77
,1.37,0.45,1.31,0.46,0.13,38.07
,1.70,0.13,0.13,0.13,0.13,42.67
,3989.12,1.18,0.39,0.39,1.24,44.95
,6997.73,0.31,0.17,0.17,1.03,15.44
,7981.66,0.13,1.10,0.17,1.64,50.18
,7941.41,1.38,0.33,1.19,0.82,81.96
,2596.91,0.27,1.29,0.13,1.32,87.59
,9000.08,0.54,1.04,1.61,1440.27,37.83
,7214.98,0.13,1.84,1.47,466.49,30.99
,5724.56,0.26,4160.93,0.26,0.46,65.26
,2698.61,0.25,1169.43,0.25,434.76,79.03
,1416.94,0.00,1841.06,0.00,280.89,54.65
,7334.73,1.32,1115.95,0.39,184.44,24.31
,6182.30,0.13,4022.49,0.13,474.85,60.94
,1740.58,0.25,4792.57,1.21,64.88,47.74
,2096.20,1.94,1510.82,0.59,570.90,41.73
,7366.71,1.92,588.86,1.76,24.78,111.78
,2857.73,1.07,2010.99,0.13,585.80,60.13
,767.65,1087.79,2904.20,1.17,5147.33,39.85
,3710.31,2687.11,11.24,0.30,4339.57,74.74
,3891.67,869.12,201.23,0.21,414.68,57.62
,253.18,1219.80,1019.29,0.13,32.92,29.77
,31.61,1664.37,6959.91,0.13,2.45,64.55
,0.13,7516.42,1984.07,0.17,1.47,53.35
,0.25,2928.81,1818.06,1.16,1.00,109.22
,5212.94,1356.86,2141.90,0.59,161.57,92.53
,1883.87,4681.59,2582.38,2.07,81.18,77.74
,4360.46,1400.87,2665.32,0.13,895.20,86.49
,4475.08,4545.61,926.51,1.51,687.99,84.82
,3563.28,52.29,3930.13,250.01,1170.95,54.08
,548.47,0.13,238.69,1877.91,408.62,92.73
,905.72,3612.29,846.94,5405.74,807.00,42.17
,1992.14,2013.94,332.18,4775.88,3378.69,104.96
,2062.56,1490.35,1.12,941.18,4199.94,82.60
,4272.85,264.74,128.92,1281.83,1002.65,71.89
,3.20,1207.00,843.48,1641.95,183.27,68.02
,1408.83,6434.05,527.73,1134.94,1062.95,95.67
,432.29,4286.78,955.18,3520.08,36.11,70.07
,2473.46,1116.82,5409.92,378.14,1.57,57.82
,5898.08,1.74,305.02,1703.26,32.05,71.29
,4622.12,2149.39,1.57,4112.27,1.06,72.95
,657.75,6135.08,907.61,1542.44,278.17,72.05
,1132.50,3032.21,190.45,2353.76,378.12,59.78
,2281.84,6298.59,202.65,1426.33,1069.20,73.26
,1161.02,1259.23,828.80,5370.80,3613.48,66.77
,569.82,1290.96,1187.68,5133.38,51.79,74.17
,2113.67,1945.88,118.38,1369.02,0.42,68.45
,1510.16,2208.46,710.22,3054.95,167.81,21.17
,1426.50,2365.65,2543.14,585.22,511.05,83.99
,374.47,2816.40,741.56,5763.80,43.49,81.05
,3672.21,703.98,1882.03,1028.61,742.43,94.39
,3004.39,1109.35,298.01,3515.26,1396.05,93.36
,2045.88,3364.23,2657.86,947.88,294.29,79.46
,2124.20,563.98,873.33,3760.97,904.68,77.10
,4723.01,222.45,37.45,4856.41,513.14,83.81
,2434.21,1909.96,0.63,6972.41,11.81,36.28
,2687.63,1850.90,196.48,5107.36,0.47,89.55
,530.66,696.44,190.45,5000.84,2189.79,73.87
,4202.86,374.88,379.52,2055.06,2858.06,96.12
,2499.48,151.89,2790.81,388.51,46.77,88.15
,3030.89,1.49,215.36,3098.41,236.44,98.12
,5851.40,4612.22,2790.91,87.12,207.36,77.26
,1203.70,744.86,5129.63,616.57,402.60,41.67
,1202.86,337.30,3696.97,4890.78,876.87,49.24
,5069.41,246.57,2570.20,35.28,309.18,68.10
,1647.61,2617.51,490.09,2.02,840.36,70.08
,1989.49,2740.68,461.85,0.13,3904.22,54.26
,1335.31,441.22,366.94,2635.62,84.32,39.28
,5096.56,1.70,3180.26,496.29,2.46,81.43
,1172.41,1.57,7600.65,110.05,963.79,75.85
,1114.79,0.42,915.17,188.02,168.20,61.09
,3320.32,1790.14,2249.40,706.33,232.56,59.21
,5026.60,204.69,3546.99,114.00,657.52,102.38
,5543.81,2546.87,1142.91,229.06,144.66,87.21
