,192.168.200.86,192.168.200.87,192.168.200.88,192.168.200.89,192.168.200.91,192.168.200.92
,1.54,1.52,1.52,1.54,1.54,18.72
,0.61,0.61,0.61,0.61,0.77,1.57
,0.55,0.38,0.37,0.38,0.61,0.39
,1.67,0.37,0.61,0.61,0.30,0.75
,0.24,0.17,0.17,0.17,0.13,0.74
,0.46,0.35,0.35,0.34,0.35,1.18
,0.28,0.17,0.17,0.17,0.17,0.74
,0.28,0.17,0.17,0.17,0.13,2.30
,0.36,1.17,0.94,0.72,0.13,2.05
,1.94,3.87,1.90,0.82,0.27,2.36
,1.69,1.69,2.02,4.14,0.13,1.18
,1.85,0.58,2.63,0.59,0.13,2.45
,0.59,0.58,0.59,0.59,0.26,1.27
,1.66,0.85,0.73,0.73,0.13,1.29
,0.72,0.59,0.71,0.62,0.26,1.38
,0.60,0.73,0.73,0.73,0.13,1.25
,0.48,0.59,0.59,0.59,0.13,1.27
,0.47,0.59,0.59,0.59,0.13,2.31
,0.47,0.58,0.59,0.58,0.13,1.70
,1.16,2.35,1.29,0.59,0.13,1.58
,0.82,1.16,0.81,2.85,0.13,0.87
,1.06,0.13,1.52,0.13,0.26,2.04
,0.13,0.13,0.13,0.13,0.13,0.88
,1.25,0.26,0.26,0.26,0.13,0.90
,0.24,0.13,0.13,0.13,0.24,0.85
,0.13,0.13,0.13,0.13,1.44,0.97
,0.13,0.25,0.13,0.26,1.29,2.49
,0.17,0.04,0.17,0.04,1.66,1.99
,0.24,2.58,0.28,0.28,2.15,1.69
,0.92,1.03,1.40,0.23,2.04,1.15
,0.95,0.24,2.17,1.60,2.04,3.27
,1.84,0.24,0.72,0.61,2.08,1.17
,1.66,0.42,0.50,0.46,0.70,1.03
,0.39,0.33,0.29,0.33,0.71,1.11
,0.24,0.24,0.28,0.28,0.71,1.10
,0.29,0.24,0.28,0.24,0.71,1.12
,0.24,0.24,0.25,0.25,0.70,2.21
,0.46,0.25,0.24,0.24,0.40,2.32
,1.17,2.71,1.27,0.59,0.76,686.93
,0.80,0.96,1.62,2.51,2.71,6026.19
,1.06,0.12,1.56,0.83,0.93,4204.35
,1.03,0.00,0.13,45.39,0.13,6721.71
,1.18,0.26,0.26,16.42,0.13,1496.19
,4.56,0.21,0.25,39.84,0.13,1354.58
,1.45,0.13,0.13,9.98,0.13,1711.71
,2.31,0.13,0.13,6.20,0.70,10680.76
,6.30,0.13,0.13,6.92,0.81,7639.34
,48.21,0.29,0.24,27.81,1.00,8623.71
,49.53,3.35,1.62,9.88,1.18,6427.67
,41.05,0.81,1.68,20.23,3.99,4708.43
,336.08,0.13,30.36,3177.62,20.14,8276.54
,231.60,0.17,193.87,8923.11,182.40,5704.49
,1225.15,0.26,251.51,2800.20,393.48,6782.58
,5465.76,0.17,232.06,4954.78,284.60,5520.29
,4184.18,0.17,204.36,4124.80,440.98,7301.17
,1149.45,0.20,264.32,3143.65,120.79,6054.97
,4015.43,0.13,397.10,4148.25,327.43,2263.56
,3497.55,0.24,1203.10,3288.63,1090.51,4393.44
,4944.94,3.27,1552.70,2785.16,1672.87,4334.57
,3202.20,7.15,2993.49,5109.38,1464.11,78.98
,2155.57,50.48,1132.50,2879.51,6197.80,3579.71
,1722.67,79.32,6525.21,1811.81,561.17,2828.27
,5928.12,58.27,2413.10,1172.96,2020.36,6747.21
,337.17,71.61,368.55,8643.83,1968.33,6431.81
,1545.13,36.49,78.88,5181.86,1781.56,8238.92
,187.54,48.83,584.94,3789.73,1095.71,5473.58
,2178.73,56.38,150.79,3188.18,808.53,2640.75
,2941.88,50.69,232.96,3010.44,2318.97,5929.70
,6914.78,79.90,232.57,1386.45,3038.17,9944.67
,3014.26,1059.38,19.02,2454.62,1817.80,7895.46
