192.168.200.86,192.168.200.87,192.168.200.88,192.168.200.89,192.168.200.91,192.168.200.92
1.34,1.63,2.55,1.38,2.17,3.78
0.41,0.13,0.13,0.26,0.52,1.30
0.32,0.26,0.26,0.26,0.13,1.79
0.60,0.13,0.13,0.13,1.66,2.17
0.58,1.60,1.70,1.55,0.13,1.83
0.25,0.69,0.72,0.60,0.39,2.99
1.59,0.81,1.00,1.29,0.13,10.26
0.13,1.02,1.08,0.17,1.19,18.26
1.04,1.18,0.33,1.26,1.09,48.29
1.14,0.21,0.21,0.13,0.98,34.63
0.13,0.27,1.18,0.13,0.95,77.75
0.27,0.13,0.13,0.26,0.26,69.92
0.30,0.26,0.26,0.26,0.13,72.75
1.58,0.13,0.17,0.13,1.59,86.66
1065.62,1.57,1.64,1.57,0.21,58.56
5519.48,1.00,1.42,1.22,0.27,87.53
3642.12,0.83,293.33,2065.04,0.13,58.20
1465.18,0.99,235.30,4291.16,1.00,85.78
6270.56,0.99,2200.58,1542.95,1.02,81.36
7632.07,0.16,779.35,1042.94,1.01,75.10
5182.86,0.13,3545.53,1.59,1.22,64.39
1277.81,0.13,2864.84,4187.46,286.34,82.78
4789.89,0.26,3807.15,194.87,3860.85,64.16
3222.75,0.17,1464.94,555.19,3906.78,94.18
3218.93,1.63,3.07,2591.87,4774.78,73.11
4699.89,0.82,2.28,187.32,5216.15,78.37
522.56,0.81,1.00,3657.29,2177.87,70.51
1464.59,1.03,225.25,5945.90,441.56,77.60
519.43,1.12,6032.99,796.42,3189.75,53.00
2496.56,0.00,4128.82,1184.09,2161.73,60.51
582.74,0.26,6124.47,0.13,207.57,52.05
5005.17,0.30,1147.80,3069.28,0.00,64.81
3321.15,0.13,1471.20,1973.16,2479.38,57.04
34.56,1.59,5708.91,3083.34,3037.11,66.95
0.13,1.18,2114.14,1117.38,299.58,69.74
18.04,256.72,5576.73,1491.64,2.94,63.93
469.30,147.96,6936.94,657.39,0.99,55.08
3213.51,1862.13,1357.50,640.87,856.61,58.47
265.60,1202.48,2802.25,1764.89,102.16,64.13
5468.43,152.16,1405.75,2312.83,72.35,76.18
284.98,4401.60,2.25,1352.13,627.09,71.85
2416.90,317.41,5245.37,7.56,2025.34,71.72
3165.81,870.33,5291.08,971.79,605.37,94.23
4939.41,858.67,6.14,1427.56,26.01,39.69
3293.67,1695.96,0.80,1101.72,0.17,88.81
3143.57,3025.51,18.15,120.89,1.09,46.93
950.16,6832.86,1.10,1023.72,1.11,62.87
5250.52,3333.52,219.89,1420.06,1122.34,41.97
4634.42,1.60,2077.94,1923.55,4877.38,51.74
877.55,335.54,6770.53,20.40,101.52,65.56
4927.60,253.13,1217.09,0.20,0.13,70.03
3087.95,1597.71,2508.85,1.76,252.39,81.43
884.78,1926.44,2566.88,0.13,848.50,68.97
1602.67,2778.70,4625.73,1.57,108.20,78.12
4387.01,1619.73,2325.56,0.81,312.55,59.78
2060.78,2928.90,610.31,1.37,1004.74,82.58
3063.05,151.30,507.61,4133.23,392.28,80.35
1337.81,1093.20,1.57,3719.22,477.21,90.72
2195.83,1.63,0.25,6988.69,1069.67,31.98
4484.69,1330.39,5.90,1346.21,1190.84,60.58
3565.30,2494.71,61.49,1185.80,329.19,51.17
1529.88,4033.91,2705.18,7.49,153.55,36.84
4262.36,2593.36,76.73,1265.58,3.08,39.91
1695.93,4431.88,1.62,685.57,0.13,68.81
5425.80,4992.36,207.57,2.30,1500.25,81.56
5725.47,154.39,1098.63,2302.89,702.41,74.83
3959.73,287.23,5023.88,212.59,96.95,61.40
1585.13,1961.32,2314.42,481.63,600.82,93.35
194.30,1352.21,1.58,214.82,6.12,69.30
1.59,2348.23,1861.94,1090.81,5.85,84.68
2432.96,2551.80,31.92,1.57,643.57,68.17
5849.46,365.09,2366.15,390.49,6.03,77.03
263.93,1340.70,0.13,4564.53,191.14,51.16
5197.74,2851.35,1185.17,2312.64,233.59,63.50
1607.02,2057.06,13.82,2860.68,66.52,48.04
1772.69,7152.28,1845.15,115.58,61.73,76.51
2218.01,5267.61,181.34,400.15,115.49,64.08
1506.24,1920.88,2285.44,2145.56,3.13,72.29
2267.25,4667.30,3553.25,1124.30,484.43,75.11
